Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
Americas,Tesla,Tesla,Model 3 (USA),2021,"Autoliv ASP, Inc. - Auburn Hills Technical Center",Passenger airbag,Passenger Airbag,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Compagnie Plastic Omnium SE,Active grille shutter,Radiator Grille,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Ventra Evart, LLC",Rear lamp assembly,Rear Lamp,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Blove Light Precision HK Co.,Ltd.",Rear lamp bracket,Rear Lamp,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Plastic Tec, S.A. de C.V. - Lerma",2nd row seat armrest bush,Seat,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,L and C Windsor Cables Ltd.,2nd row seat back handle bezel,Seat,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Blove Light Precision HK Co.,Ltd.",2nd row seat back projection cover,Seat,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Lear Mexican Trim Operations S. de R.L. de C.V. (Formerly Lear San Lorenzo, S.A. de C.V.)",2nd row seat backrest trim,Seat,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Lear Mexican Trim Operations S. de R.L. de C.V. (Formerly Lear San Lorenzo, S.A. de C.V.)",2nd row seat bolster,Seat,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"FPT Precision Technology (Guangzhou) Co., Ltd. (Formerly Guangzhou Lite-On Mobile Electronic Components Co. Ltd.)",2nd row seat lever bracket,Seat,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Blove Light Precision HK Co.,Ltd.",Front seat suspension plastic insulator,Seat,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"PHA USA, LLC",Seat back striker,Seat,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Axiom Plastics Inc.,Seat back latch bezel,Seat Adjuster / Recliner,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Autoliv ASP, Inc. - Auburn Hills Technical Center",Seat belt height adjuster,Seat Adjuster / Recliner,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Axiom Plastics Inc.,Seat rail cover,Seat Adjuster / Recliner,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Robert Bosch Mexico SA de C.V.,Seat recliner motor,Seat Adjuster / Recliner,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Mid West Fabricating Company,Front seat belt webbing guide,Seat Belt,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Autoliv ASP, Inc. - Auburn Hills Technical Center",Front seat belt retractor,Seat Belt Pretensioner,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Autoliv ASP, Inc. - Auburn Hills Technical Center",Rear seat belt retractor,Seat Belt Pretensioner,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Autoliv ASP, Inc. - Auburn Hills Technical Center",Seat belt pretensioner,Seat Belt Pretensioner,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Autoliv Inc.,Side airbag,Side Airbag,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Mata Ahsap ve Otomotiv San.Tic. A.S.,Carbon fiber spoiler,Spoiler,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Ningbo Yosun Auto Parts Co., Ltd.",Liftgate stopper,Trunk / Tailgate Trim,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Plastic Tec, S.A. de C.V. - Lerma",Liftgate trim,Trunk / Tailgate Trim,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Axiom Plastics Inc.,Trunk floor support bracket,Trunk / Tailgate Trim,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,McKechnie Vehicle Components (MVC),Rear door seal,Weatherstrip,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Compagnie de Saint-Gobain S.A.,Front door window glass,Window Glass,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Compagnie de Saint-Gobain S.A.,Front window glass,Window Glass,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Fuyao Glass America Inc.,Quarter window glass,Window Glass,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Compagnie de Saint-Gobain S.A.,Rear door window glass,Window Glass,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Fuyao Glass America Inc.,Rear quarter window glass,Window Glass,Interior_Exterior
Americas,Tesla,Tesla,Model S (USA),2021,"Novares Mexico North, S. de R.L. de C.V.",A/C ventilator,A/C Ventilator,Interior_Exterior
Americas,Tesla,Tesla,Model S (USA),2021,Magnesium Products of America (MPA),Front bumper carrier,Bumper,Interior_Exterior
Americas,Tesla,Tesla,Model S (USA),2021,Multimatic Indiana Inc.,Front bumper system,Bumper,Interior_Exterior
Americas,Tesla,Tesla,Model S (USA),2021,"Blove Light Precision HK Co.,Ltd.",Parking assist retainer,Bumper,Interior_Exterior
Americas,Tesla,Tesla,Model S (USA),2021,Ramko Injection Inc.,Parking assist retainer,Bumper,Interior_Exterior
Americas,Tesla,Tesla,Model S (USA),2021,"Blove Light Precision HK Co.,Ltd.",Rear parking assist retainer,Bumper,Interior_Exterior
Americas,Tesla,Tesla,Model S (USA),2021,fischer automotive systems GmbH & Co. KG,Center console armrest,Console,Interior_Exterior
Americas,Tesla,Tesla,Model S (USA),2021,"Mission Plastics, Inc.",Center console cubby holder,Console,Interior_Exterior
Americas,Tesla,Tesla,Model S (USA),2021,"Eissmann Automotive North America, Inc.",Center console panel,Console,Interior_Exterior
