Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"Zhejiang Yinlun Machinery Co., Ltd.",Water cooling parts for ADAS chip,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model Y (4WD) (China),2022,Advanced Micro Devices Inc.,Integrated cockpit domain controller,In-Vehicle Infotainment Unit,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,TE Connectivity Ltd. (Formerly Tyco Electronics Ltd.),FM amplifier,Antenna,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,TE Connectivity Ltd. (Formerly Tyco Electronics Ltd.),GPS antenna,Antenna,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,Freudenberg SE,Cabin air filter,Cabin Air Filter,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,Hirschmann Automotive GmbH,Connector housing,Electrical Connector,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,Stocko Contact GmbH & Co. KG,Electrical connector,Electrical Connector,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,Lumberg Connect GmbH,Electrical connector,Electrical Connector,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,Lumberg Connect GmbH,High-voltage connector,Electrical Connector,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,Gentherm Inc. (Formerly Amerigon Inc.),Heating element for steering wheel,Heater,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,Gentherm Inc. (Formerly Amerigon Inc.),Seat heater,Heater,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,Leopold Kostal GmbH & Co. KG,Steering column control module,Lever Combination Switch,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,Preh GmbH,Door release switch,Switch,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,Preh GmbH,Power window switch,Switch,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,Preh GmbH,Steering wheel multifunction switch,Switch,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,Preh GmbH,Tailgate switch,Switch,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,MD ELEKTRONIK GmbH,Antenna wiring harness,Wiring Harness,Electrical
Europe,Tesla,Tesla,Model Y (Germany),2022,MD ELEKTRONIK GmbH,Data cable,Wiring Harness,Electrical
China,Tesla China,Tesla,Model Y (RR) (China),2022,Tesla,ADAS domain controller chip,Advanced Driver Assistance ECU,Electrical
China,Tesla China,Tesla,Model Y (RR) (China),2022,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Electronic expansion valve,Air Conditioning / HVAC,Electrical
